smiles,smiles_emb,pIC50,norm_pIC50,stand_pIC50,FGs,num_FG
Cn1c(=O)c2[nH]c(-c3ccccc3)cc2n(C)c1=O,"[32, 1, 11, 3, 2, 5, 8, 9, 6, 2, 4, 10, 11, 12, 13, 2, 5, 23, 2, 14, 2, 2, 2, 2, 2, 14, 6, 2, 2, 4, 11, 5, 1, 6, 2, 3, 8, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",6.32,0.3407202216066484,-0.5817968466576774,"[2, 7, 12, 27, 32]",5
Cn1cc2c(nc(N)n3nc(-c4ccc([N+](=O)[O-])cc4)nc23)n1,"[32, 1, 11, 3, 2, 2, 4, 2, 5, 11, 2, 5, 15, 6, 11, 14, 11, 2, 5, 23, 2, 21, 2, 2, 2, 5, 10, 15, 25, 13, 5, 8, 9, 6, 10, 9, 23, 13, 6, 2, 2, 21, 6, 11, 2, 4, 14, 6, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",5.01,-0.022160664819944623,-1.668750063780519,"[2, 40, 9, 12, 14, 16, 27, 28, 24, 36]",10
Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12,"[32, 15, 2, 3, 11, 2, 5, 15, 1, 1, 2, 4, 2, 2, 2, 5, 9, 6, 2, 2, 4, 6, 11, 2, 4, 11, 2, 5, 23, 2, 14, 2, 2, 2, 17, 14, 6, 11, 11, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",9.54,1.2326869806094183,2.0899507557358707,"[1, 4, 7, 16, 22, 25, 33, 37, 34]",9
O=c1c2ncn3nc(-c4ccccc4)cc3c2c(-c2cccs2)nn1Cc1ccccc1,"[32, 9, 8, 2, 3, 2, 4, 11, 2, 11, 14, 11, 2, 5, 23, 2, 21, 2, 2, 2, 2, 2, 21, 6, 2, 2, 14, 2, 4, 2, 5, 23, 2, 4, 2, 2, 2, 7, 4, 6, 11, 11, 3, 1, 2, 3, 2, 2, 2, 2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",7.29,0.6094182825484766,0.22304637518137285,"[1, 7, 9, 11, 35, 37, 36]",7
CCCCn1cc2c(nc(NC(=O)Cc3ccc4ccccc4c3)n3nc(-c4ccco4)nc23)n1,"[32, 1, 1, 1, 1, 11, 3, 2, 2, 4, 2, 5, 11, 2, 5, 15, 1, 5, 8, 9, 6, 1, 2, 14, 2, 2, 2, 21, 2, 2, 2, 2, 2, 21, 2, 14, 6, 11, 14, 11, 2, 5, 23, 2, 21, 2, 2, 2, 17, 21, 6, 11, 2, 4, 14, 6, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",8.1,0.8337950138504155,0.895131952180992,"[48, 52, 5, 12, 15, 16, 19, 37, 39, 47]",10
Nc1ccc2c(O)c(C(=O)NCc3ccc(Cl)cc3)cnc2n1,"[32, 15, 2, 3, 2, 2, 2, 4, 2, 5, 9, 6, 2, 5, 1, 5, 8, 9, 6, 15, 1, 2, 14, 2, 2, 2, 5, 19, 6, 2, 2, 14, 6, 2, 11, 2, 4, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",6.3,0.33518005540166207,-0.5983915522626067,"[1, 10, 14, 17, 19, 27, 34, 36]",8
CCCn1c(=O)c2[nH]c(-c3ccc(OC(CC)C(=O)Nc4ccc(F)cc4)cc3)cc2n(CCC)c1=O,"[32, 1, 1, 1, 11, 3, 2, 5, 8, 9, 6, 2, 4, 10, 11, 12, 13, 2, 5, 23, 2, 14, 2, 2, 2, 5, 9, 1, 5, 1, 1, 6, 1, 5, 8, 9, 6, 15, 2, 21, 2, 2, 2, 5, 16, 6, 2, 2, 21, 6, 2, 2, 14, 6, 2, 2, 4, 11, 5, 1, 1, 1, 6, 2, 3, 8, 9, 0, 0, 0, 0, 0, 0, 33]",7.72,0.7285318559556787,0.5798325456873434,"[4, 61, 9, 14, 23, 29, 30, 32, 41, 54]",10
Oc1c(-c2ccco2)nnc2nc3ccccc3n12,"[32, 9, 2, 3, 2, 5, 23, 2, 4, 2, 2, 2, 17, 4, 6, 11, 11, 2, 4, 11, 2, 14, 2, 2, 2, 2, 2, 14, 11, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",6.62,0.42382271468144056,-0.33287626258374436,"[1, 11, 12, 15, 17, 26]",6
Cc1ccc2c(O)cc(-c3ccccc3)nc2n1,"[32, 1, 2, 3, 2, 2, 2, 4, 2, 5, 9, 6, 2, 2, 5, 23, 2, 14, 2, 2, 2, 2, 2, 14, 6, 11, 2, 4, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",6.34,0.34626038781163443,-0.5652021410527488,"[26, 10, 22]",3
O=C(Nc1cc(-c2ccc3c(c2)OCO3)nc(-c2ccccc2)n1)C1CCCC1,"[32, 9, 8, 1, 5, 15, 2, 3, 2, 2, 5, 23, 2, 4, 2, 2, 2, 14, 2, 5, 2, 4, 6, 9, 1, 9, 14, 6, 11, 2, 5, 23, 2, 4, 2, 2, 2, 2, 2, 4, 6, 11, 3, 6, 1, 3, 1, 1, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",6.47,0.38227146814404434,-0.45733655462071127,"[1, 3, 5, 20, 23, 24, 25, 37]",8
