smiles,smiles_emb,pIC50,norm_pIC50,stand_pIC50,FGs,num_FG
CCN(CC)c1ncnc2sc(Nc3ccccc3)nc12,"[32, 1, 1, 15, 5, 1, 1, 6, 2, 3, 11, 2, 11, 2, 4, 7, 2, 5, 15, 2, 14, 2, 2, 2, 2, 2, 14, 6, 11, 2, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",5.66,0.23850574712643677,-1.1294221316203303,"[3, 10, 12, 15, 18, 28]",6
Cc1ccc2c(N=[N+]=[N-])c(Cc3ccccc3)cnc2n1,"[32, 1, 2, 3, 2, 2, 2, 4, 2, 5, 15, 8, 10, 15, 25, 13, 8, 10, 15, 23, 13, 6, 2, 5, 1, 2, 14, 2, 2, 2, 2, 2, 14, 6, 2, 11, 2, 4, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",5.47,0.2112068965517241,-1.287071834867155,"[14, 10, 13, 31, 35]",5
CCC(=O)Nc1cc(-c2ccco2)nc(-c2ccco2)n1,"[32, 1, 1, 1, 5, 8, 9, 6, 15, 2, 3, 2, 2, 5, 23, 2, 4, 2, 2, 2, 17, 4, 6, 11, 2, 5, 23, 2, 4, 2, 2, 2, 17, 4, 6, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",8.19,0.6020114942528734,0.9698081274031718,"[3, 6, 8, 19, 20, 30, 31]",7
COc1ccc(N2CCOCC2)c2sc(NC(=O)C(C)(C)Oc3ccc(C)cc3)nc12,"[32, 1, 9, 2, 3, 2, 2, 2, 5, 15, 4, 1, 1, 9, 1, 1, 4, 6, 2, 4, 7, 2, 5, 15, 1, 5, 8, 9, 6, 1, 5, 1, 6, 5, 1, 6, 9, 2, 14, 2, 2, 2, 5, 1, 6, 2, 2, 14, 6, 11, 2, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",8.27,0.6135057471264367,1.0361869498228873,"[2, 9, 13, 20, 24, 27, 23, 36, 49]",9
COc1ccc(CC(=O)Nc2cc(-c3nccs3)nc(-c3ccccn3)n2)cc1,"[32, 1, 9, 2, 3, 2, 2, 2, 5, 1, 1, 5, 8, 9, 6, 15, 2, 4, 2, 2, 5, 23, 2, 14, 11, 2, 2, 7, 14, 6, 11, 2, 5, 23, 2, 14, 2, 2, 2, 2, 11, 14, 6, 11, 4, 6, 2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",9.0,0.7183908045977011,1.6418937044027917,"[2, 13, 15, 10, 22, 26, 27, 38, 39]",9
CCSc1cccc2[nH]c(-c3cnc4ccccc4n3)nc12,"[32, 1, 1, 22, 2, 3, 2, 2, 2, 2, 4, 10, 11, 12, 13, 2, 5, 23, 2, 14, 2, 11, 2, 21, 2, 2, 2, 2, 2, 21, 11, 14, 6, 11, 2, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",5.46,0.2097701149425287,-1.2953691876696192,"[3, 12, 18, 27, 28]",5
CN(C)c1ccc2c(O)c(C(=O)NCc3ccccc3)cnc2n1,"[32, 1, 15, 5, 1, 6, 2, 3, 2, 2, 2, 4, 2, 5, 9, 6, 2, 5, 1, 5, 8, 9, 6, 15, 1, 2, 14, 2, 2, 2, 2, 2, 14, 6, 2, 11, 2, 4, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",7.24,0.46551724137931033,0.1815596111690508,"[2, 14, 18, 21, 23, 35, 38]",7
Cc1csc(-c2c(C)oc3cc(O)ccc3c2=O)n1,"[32, 1, 2, 3, 2, 7, 2, 5, 23, 2, 4, 2, 5, 1, 6, 17, 2, 14, 2, 2, 5, 9, 6, 2, 2, 2, 14, 2, 4, 8, 9, 6, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",5.1,0.15804597701149417,-1.5940738885583392,"[5, 13, 19, 27, 30]",5
c1ccc(-c2cc(-c3ccccc3)c3nc(C4CCCCC4)[nH]c3n2)cc1,"[32, 2, 3, 2, 2, 2, 5, 23, 2, 4, 2, 2, 5, 23, 2, 14, 2, 2, 2, 2, 2, 14, 6, 2, 14, 11, 2, 5, 1, 21, 1, 1, 1, 1, 1, 21, 6, 10, 11, 12, 13, 2, 14, 11, 4, 6, 2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",6.71,0.389367816091954,-0.2582000873615646,"[38, 20, 33]",3
N#Cc1c(N)nc(-n2cccn2)nc1-n1cccn1,"[32, 15, 20, 1, 2, 3, 2, 5, 15, 6, 11, 2, 5, 23, 11, 4, 2, 2, 2, 11, 4, 6, 11, 2, 3, 23, 11, 3, 2, 2, 2, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",8.15,0.5962643678160919,0.9366187161933147,"[1, 3, 8, 10, 18, 13, 19, 29, 23]",9
