smiles,pIC50
Nc1nc(CCCc2ccccc2O)nc2cn(-c3ccccc3)nc12,6.99
CCCC(=O)Nc1cc(-c2ccccc2)nc(-c2ccccc2)n1,6.99
Cc1cc(C)n(-c2cc(NC(=O)COc3cccc(CN(C)C)c3)nc(-c3ccc(C)o3)n2)n1,9.4
COc1ccccc1CCCc1nc(N)c2nn(-c3ccccc3)cc2n1,6.82
Cc1ccc(-c2nc(N)c3nn(Cc4ccccc4)cc3n2)o1,7.96
Nc1nc2c(cnn2CCCc2ccc(S(=O)(=O)O)cc2)c2nc(-c3ccco3)nn12,6.85
O=C(Nc1nc(-c2ccccc2)nc2nn(CCc3ccccc3)cc12)c1ccccc1,6.64
Cc1ccc(-c2nc(NC(=O)C3CC3)cnc2-c2ccncc2)o1,8.92
CC(C)(C)OC(=O)N1CCN(c2cccc(-c3cc4nc(-c5ccco5)nn4c(N)n3)c2)CC1,9.3
COCCOc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,9.05
CCc1nc(-c2nccs2)c2sccc2n1,8.8
Cn1c(=O)c2c(nc3n2CCCN3CCc2cccc(Cl)c2)n(C)c1=O,5.87
O=C(CCN1CCCCC1)Nc1cc(-c2ccco2)c2oc(-c3ccco3)nc2c1,7.09
Nc1ncc(-c2ccnc(C3CC3)c2)c(-c2ccccc2)n1,7.44
CCCn1c(=O)c2c(cc(-c3ccc(C)cc3)n2O)n(CCC)c1=O,6.4
CCOc1ccccc1-c1cc(C(=O)NCc2ncccc2C)nc(N)n1,6.97
C#CCOc1cccc(-c2cn3c(=O)n(-c4ccccc4)nc3c(N)n2)c1,8.29
CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)c3ccc(C#N)cc3)sc12,7.3
Cn1c(=O)c2c(ncn2C)n(C)c1=O,4.74
CC(C)Cn1c(=O)c2nc(-c3cnn(Cc4ccccc4)c3)[nH]c2n(CC(C)C)c1=O,5.96
Nc1nnc(-c2cccc(Cl)c2)c(-c2ccccc2)n1,6.4
COc1ccc(NC(=O)Nc2nc3nn(CCc4ccccc4)cc3c3nc(-c4ccco4)nn23)cc1,6.92
CNc1ncc(C(=O)OCc2ccc(Cl)cc2)c2nc(-c3ccco3)nn12,7.14
CCCCn1cc2c(nc(NC(=O)Nc3cccc(OC)c3)n3nc(-c4ccco4)nc23)n1,7.02
Nc1nc(-c2ccco2)c2ncn(Cc3ccc(C(F)(F)F)cc3F)c2n1,8.55
CCOc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,7.36
Nc1nc(NCc2ccccc2)nc2sc(-c3ccco3)nc12,7.54
CCCn1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1,8.6
Cn1c(-n2nccn2)nc2c(N)nc(CCCCO)nc21,7.28
Cc1ccc2c(O)cc(-c3cccc(N)c3)nc2n1,6.64
CSCCn1c(=O)c2[nH]c(Cc3c(F)cccc3F)nc2n(Cc2ccco2)c1=O,5.91
N#Cc1cccc(-c2nc(NC(=O)O)sc2-n2cncn2)c1,5.25
CCOC(=O)c1cnc(SC)n2nc(-c3ccco3)nc12,5.02
COc1cccc(CN(C)C)c1OCC(=O)Nc1cc(-n2nc(C)cc2C)nc(-c2ccc(C)o2)n1,8.24
CC(C)c1nc2c(-c3ccccc3)cc(-c3ccccc3)nc2[nH]1,6.64
NCc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,9.89
N#Cc1c(-c2ccccc2)nc(N)nc1-c1ccc2c(c1)OCO2,8.28
CCCn1c(=O)c2c(cc(-c3ccc(O)cc3)n2O)n(CCC)c1=O,6.99
CCCCn1c(=O)c2c(nc3n2CCCN3c2ccc(OCCN3CCCCC3)cc2)n(CCCC)c1=O,6.04
Cc1cccc2cc(-c3ccccc3)c(=O)oc12,4.38
Cc1[nH]c2nc(-c3ccccc3)nc(NCCN3CCNC3=O)c2c1C,6.67
Nc1nc2c(cnn2CCc2ccc(S(=O)(=O)N(CCCl)CCCl)cc2)c2nc(-c3ccco3)nn12,9.23
COCCOc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,8.3
Nc1nc(-c2ccccc2)cc2nc(-c3ccco3)nn12,8.15
CCCn1c(=O)c2[nH]c(-c3cnn(Cc4cccc(F)c4)c3)nc2n(C)c1=O,6.86
Cn1c(Cc2c(F)cccc2F)nc2c1c(=O)n(CC1CC1)c(=O)n2Cc1ccco1,5.74
CSc1c2c(nc(N)n3nc(-c4ccco4)nc23)nn1CCCc1ccccc1,7.66
O=C(Cc1c(Cl)cccc1Cl)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,6.73
CC(=O)Nc1nc(-c2ccccc2)c(-c2nc(C)no2)s1,6.96
CCCn1c(Br)nc2c(N)nc(NCCCc3ccccc3)nc21,6.55
Cn1c(=O)c2c(ncn2C)n(C)c1=O,4.32
CC(C)NC(=O)c1nc(NCc2cccnc2)nc2ccsc12,5.58
CCn1c(=O)n(C)c(=O)c2[nH]cnc21,5.33
COCCOc1cccc(OC(C)(C)C(=O)Nc2nc3c(OC)cnc(N4CCOCC4)c3s2)c1,7.55
O=C(Cc1ccccc1)Nc1nc(NCc2ccccc2)nc2nc(-c3ccco3)nn12,8.27
Cc1ccc(C(=O)Nc2nc(-c3ccccc3)c(-c3nc(N)nc(N(C)C)n3)s2)cc1,6.25
CCCn1c(=O)c2[nH]c(-c3cnn(Cc4cccc(F)c4)c3)nc2n(CC)c1=O,5.6
Cc1ccc2c(O)c(C(=O)NCc3ccco3)cnc2n1,7.35
Nc1nc(C(=O)NCc2cccc(CO)n2)cc(-c2ccco2)n1,8.03
CCOC(=O)c1ccc(N2CCN(c3nc(N)c4nc(-c5ccco5)sc4n3)CC2)cc1,6.55
Nc1nc(-c2ccco2)c2c(n1)-c1ccccc1C2=O,10.0
Nc1nc2c(cnn2CCCc2ccc(O)cc2)c2nc(-c3ccco3)nn12,8.0
Nc1nc(Br)cn2cc(-c3ccco3)nc12,6.58
Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12,8.49
Nc1nc(-c2ccco2)c2cnn(CCc3ccccc3)c2n1,6.96
Nc1nc(NCCc2ccccc2)nc2sc(-c3ccco3)nc12,7.52
CCNc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,6.68
COc1cc(OCC(=O)Nc2cc(-n3nc(C)cc3C)nc(-c3ccc(C)o3)n2)ccc1CN(C)C,9.52
CC(C)(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1Cl,7.66
Cc1ccc2c(O)c(C(=O)NC3CCC(C)CC3)cnc2n1,6.41
Cc1cc(C)n(-c2cc(NC(=O)COc3cccc(CN4CCOCC4)c3)nc(-c3ccc(C)o3)n2)n1,8.92
CC(C)(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,7.44
CN(CCCNc1nc(N)n2nc(-c3ccco3)nc2n1)CCc1cccc2c1CC(=O)N2,5.95
COc1ccc(CCNC(=N)Nc2nc(C)cc(C)n2)cc1,6.05
NCCCNC(=O)COc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,8.03
CCn1c(=O)c2nc(-c3cnn(Cc4cccc(C(F)(F)F)c4)c3)[nH]c2n(CC)c1=O,6.35
Cc1cnc2c(c1)CN(CCn1ncc3c1nc(N)n1nc(-c4ccco4)nc31)CC2,8.7
Cc1cc(C)n(-c2nc(Nc3ccccn3)cc(-n3cccn3)n2)n1,8.04
CCn1cc2c(nc(NC(=O)Nc3ccc([N+](=O)[O-])cc3)n3nc(-c4ccco4)nc23)n1,6.21
c1coc(CNc2nc3ccccc3n3nc(-c4ccco4)nc23)c1,6.31
Oc1nc2ccc(Cl)cc2n2nc(-c3cccs3)nc12,5.18
Nc1nc(-c2ncco2)c2nnn(Cc3ccccc3F)c2n1,7.39
COc1ccc(CC(=O)Nc2nc3nn(CCC(C)C)cc3c3nc(-c4ccco4)nn23)cc1,8.71
CCCn1c(=O)c2nc(-c3cnn(Cc4ccc(Cl)cc4)c3)[nH]c2n(CCC)c1=O,7.06
Nc1nc2c(cnn2CCc2ccc(-c3cccnc3)cn2)c2nc(-c3ccco3)nn12,7.94
Cc1nc2c(N)nc(NCCc3cccs3)nc2s1,7.08
COCCCn1c(NC(=O)c2cccc(OC)c2)nc2cc(C(=O)NCc3cccc(OC)c3)ccc21,5.62
COc1ccc(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)cc1,5.86
Nc1nc(N2CCN(C(=O)Cc3ccc(Cl)cc3)CC2)nc2nc(-c3ccco3)nn12,7.41
CC(C)n1cnc2ncnc(N)c21,4.92
Cc1cc2c(nc(-n3nccn3)n2C)c(N)n1,6.92
Nc1nc(-c2ccco2)c2ncn(Cc3ccccc3)c2n1,7.46
Cc1ccc2c(O)cc(-c3ccc(F)cc3)nc2n1,6.2
COc1cccc(CCC(=O)Nc2nc3ccccc3c(=O)s2)c1,7.19
CCCn1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1,8.6
CCCn1c(=O)c2nc(-c3cnn(Cc4ccccc4Cl)c3)[nH]c2n(CCC)c1=O,7.31
O=C(Nc1nc(-c2ccccc2)n[nH]1)c1ccc(Cl)cc1,5.55
Cn1c(=O)c2c(nnn2C2CC3CCC2C3)n(C)c1=O,5.35
CN(C)c1ccc(Nc2nc(NC3CCCCC3)c3[nH]cnc3n2)cc1,5.21
CNc1nc(NCc2ccc(F)cc2)n2nc(-c3ccco3)nc2n1,6.63
Nc1nc2c(cnn2CCN2CCOCC2)c2nn(CC3CC3)c(=O)n12,6.42
O=C(Nc1nc2ccccc2n2c(=O)n(-c3ccccc3)nc12)c1ccncc1,6.73
Nc1nc(-c2ccco2)c2nnn(Cc3ccc([N+](=O)[O-])cc3)c2n1,7.55
O=C(c1cccs1)c1nc(NCCO)nc2ccsc12,8.37
Nc1nc2c(cnn2CCCc2ccc([N+](=O)[O-])cc2)c2nc(-c3ccco3)nn12,9.0
O=[N+]([O-])c1cc(O)c2c(c1)S(=O)(=O)N=C(Nc1ccccc1Oc1ccccc1)N2,4.6
Cc1ccccc1CNC(=O)c1nc(N)nc(-c2ccco2)n1,7.91
CCCCn1cc2c(nc(NC(=O)Nc3ccc(S(=O)(=O)O)cc3)n3nc(-c4ccco4)nc23)n1,6.45
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C#N)cc4)cc3)nc2n(CCC)c1=O,6.3
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(Br)cc4)cc3)[nH]c2n(CCC)c1=O,5.78
CCNc1c2c(nc(N)n3nc(-c4ccco4)nc23)nn1C,8.0
Cn1cc2c(Cl)nc(NC(=O)Cc3ccccc3)nc2n1,4.52
O=C(Nc1nc(-c2ccccc2)c(C(=O)c2ccccc2)s1)c1ccco1,6.46
